App Name,App Id,Category,Price ($),Rating,Downloads,Content Rating,Developer Id,Minimum Android,Last Updated,Editors Choice,Success Rate
11615.0,21995.0,20.0,0.0,2.6,119403,1.0,9342.0,15.0,926.0,False,1
24679.0,21086.0,21.0,0.0,4.4,6864573,1.0,19074.0,18.0,1974.0,False,3
12188.0,12055.0,18.0,0.0,4.5,10911,1.0,10801.0,18.0,2541.0,False,3
23442.0,11490.0,11.0,4.99,2.8,10407,1.0,8902.0,32.0,602.0,False,1
19883.0,2046.0,21.0,0.0,2.1,142327,1.0,2076.0,27.0,1036.0,False,1
13197.0,23890.0,16.0,0.0,3.9,25789,0.0,23852.0,27.0,1336.0,False,2
24701.0,5255.0,10.0,0.0,3.8,19986,1.0,892.0,17.0,1120.0,False,2
5846.0,16698.0,13.0,0.0,4.0,805669,1.0,14083.0,18.0,216.0,False,2
5183.0,1116.0,18.0,0.0,3.8,63064,1.0,2321.0,18.0,1204.0,False,2
14302.0,4075.0,14.0,0.0,4.6,39683,1.0,2535.0,18.0,27.0,False,3
12921.0,15452.0,6.0,0.0,4.1,301012,1.0,14633.0,27.0,200.0,False,2
5840.0,16924.0,10.0,0.0,4.3,31738431,1.0,20359.0,24.0,1896.0,False,4
20990.0,7766.0,14.0,0.0,4.6,4719,1.0,22822.0,25.0,1674.0,False,3
16588.0,8409.0,10.0,0.0,4.3,21579,1.0,6074.0,9.0,285.0,False,3
15667.0,7476.0,9.0,0.0,4.8,14386,1.0,3990.0,17.0,171.0,False,3
23463.0,28357.0,21.0,0.0,4.5,1170145,1.0,18185.0,27.0,1448.0,False,3
22559.0,12177.0,10.0,0.0,3.9,784130,1.0,21117.0,27.0,2461.0,False,2
21297.0,687.0,14.0,0.0,4.8,36588,1.0,18079.0,18.0,2648.0,False,3
22052.0,28599.0,17.0,0.0,4.6,102657325,1.0,20597.0,27.0,1416.0,False,4
8983.0,21021.0,20.0,0.0,4.1,25938,1.0,23200.0,28.0,1217.0,False,2
21257.0,23991.0,10.0,0.0,4.0,34691,1.0,21648.0,11.0,259.0,False,2
15355.0,14518.0,8.0,0.0,3.2,9573,1.0,12088.0,24.0,37.0,False,1
2358.0,22318.0,11.0,0.0,4.0,166558,1.0,3332.0,24.0,2185.0,False,2
20900.0,1721.0,11.0,0.0,3.5,21903,1.0,12538.0,17.0,1727.0,False,2
17271.0,16193.0,6.0,0.0,3.1,265896,1.0,13535.0,15.0,2286.0,False,1
14841.0,14540.0,5.0,0.0,4.1,19952,1.0,12116.0,30.0,1045.0,False,2
19449.0,28140.0,6.0,0.0,3.6,43839,1.0,11867.0,24.0,2465.0,False,2
6189.0,15657.0,16.0,0.99,4.4,72905,1.0,23099.0,17.0,466.0,False,3
3735.0,19136.0,13.0,0.0,4.3,260911,1.0,9979.0,18.0,1972.0,False,3
7608.0,12885.0,3.0,0.0,3.2,113221,1.0,9854.0,22.0,1801.0,False,1
1467.0,10636.0,10.0,0.0,4.2,181133,1.0,8066.0,24.0,2541.0,False,3
7082.0,11975.0,16.0,0.0,4.5,350301,1.0,8973.0,18.0,1668.0,False,3
6782.0,5892.0,18.0,4.99,4.6,1618,1.0,2942.0,9.0,76.0,False,3
15221.0,25727.0,10.0,0.0,4.3,147049,1.0,11978.0,18.0,1277.0,False,3
10703.0,17864.0,18.0,0.0,2.9,51306,1.0,12092.0,15.0,351.0,False,1
3941.0,20606.0,17.0,0.0,3.9,30973,1.0,18314.0,27.0,1940.0,False,2
20885.0,28533.0,8.0,0.0,2.8,59932,1.0,5467.0,9.0,2366.0,False,1
17052.0,18507.0,18.0,0.0,3.0,157814,1.0,16058.0,27.0,1352.0,False,1
21445.0,352.0,11.0,0.0,2.4,261568,1.0,16684.0,15.0,274.0,False,1
9243.0,28825.0,5.0,0.0,4.2,9848,1.0,19700.0,18.0,2248.0,False,3
28549.0,4060.0,14.0,0.0,4.4,146810,1.0,22829.0,18.0,1540.0,False,3
25157.0,26419.0,20.0,0.0,4.4,2253697,1.0,17753.0,18.0,2019.0,False,3
7768.0,24610.0,18.0,0.0,4.3,36555,1.0,15577.0,22.0,1283.0,False,3
27709.0,24946.0,11.0,0.0,4.1,258365,1.0,21196.0,24.0,695.0,False,2
9836.0,5480.0,18.0,0.0,2.7,61252,1.0,12224.0,18.0,6.0,False,1
1736.0,12927.0,11.0,0.0,4.2,125445533,2.0,19186.0,34.0,521.0,False,4
25355.0,24751.0,10.0,0.0,3.1,140027,2.0,11546.0,24.0,1849.0,False,1
24888.0,25801.0,18.0,0.0,4.3,29633,1.0,19216.0,24.0,1730.0,False,3
25842.0,25118.0,20.0,0.0,4.5,3702811,1.0,16998.0,27.0,1448.0,False,3
2618.0,5113.0,18.0,0.0,4.5,27598,1.0,23347.0,27.0,1716.0,False,3
830.0,2891.0,6.0,0.0,3.9,24059,1.0,16400.0,22.0,2405.0,False,2
11983.0,11941.0,5.0,0.0,3.8,73645,1.0,9160.0,27.0,1415.0,False,2
548.0,13193.0,14.0,0.0,2.2,9309,1.0,10283.0,15.0,2072.0,False,1
18584.0,10463.0,20.0,0.0,4.4,785567,1.0,7960.0,24.0,325.0,False,3
3091.0,8184.0,10.0,0.0,4.1,1552406,1.0,5476.0,18.0,572.0,False,3
17479.0,14321.0,10.0,0.0,3.6,23860,1.0,6174.0,27.0,1809.0,False,2
7827.0,24257.0,17.0,1.99,2.6,8671,1.0,22752.0,6.0,275.0,False,1
22288.0,19598.0,18.0,0.0,4.4,19552,1.0,16666.0,20.0,2547.0,False,3
3270.0,27397.0,18.0,0.0,1.4,6376,1.0,21032.0,18.0,542.0,False,1
3290.0,57.0,21.0,0.0,3.8,7108,1.0,22086.0,31.0,1832.0,False,2
4757.0,6667.0,19.0,0.0,2.7,4663,1.0,3861.0,24.0,95.0,False,1
27603.0,7085.0,13.0,0.0,3.7,26789,1.0,4275.0,9.0,729.0,False,2
442.0,18769.0,20.0,0.0,4.5,6496,1.0,16312.0,15.0,233.0,False,3
23563.0,20561.0,8.0,0.0,2.4,13198,1.0,18263.0,24.0,1864.0,False,1
1737.0,13430.0,10.0,0.0,4.0,36209040,1.0,10700.0,18.0,1931.0,False,4
24171.0,25894.0,10.0,0.0,3.6,11582,2.0,1840.0,24.0,693.0,False,2
7961.0,13716.0,5.0,0.0,4.5,244261,1.0,11082.0,18.0,1087.0,False,3
3955.0,1050.0,13.0,0.0,4.6,6870,1.0,10296.0,18.0,988.0,False,3
11875.0,25767.0,6.0,0.0,3.5,2148056,1.0,9060.0,24.0,1940.0,False,2
17902.0,12660.0,6.0,0.0,4.3,127367,0.0,9976.0,17.0,2094.0,False,3
27357.0,18023.0,17.0,0.0,4.0,60172,1.0,15446.0,24.0,2012.0,False,2
11906.0,27904.0,10.0,0.0,2.5,200668,1.0,14015.0,17.0,2524.0,False,1
21967.0,2573.0,10.0,0.0,4.2,38725963,1.0,10185.0,27.0,2012.0,False,4
11771.0,27043.0,13.0,0.0,4.5,11245,1.0,3264.0,27.0,66.0,False,3
8555.0,1184.0,11.0,0.0,4.1,49221,0.0,15110.0,20.0,80.0,False,2
